State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Year,Month,Day,Volatility,Risk_Index,Risk_Category
Tamil Nadu,Thiruchirappalli,Musiri(Uzhavar Sandhai ) APMC,Banana,Besrai,Local,2026-12-03,4000,5000,4500,2026,12,3,1000,0.2222222222222222,Medium Risk
Tamil Nadu,Thiruchirappalli,Musiri(Uzhavar Sandhai ) APMC,Tapioca,Tapioca,Local,2026-12-03,2500,3000,2750,2026,12,3,500,0.18181818181818182,Medium Risk
Tamil Nadu,Thiruchirappalli,Musiri(Uzhavar Sandhai ) APMC,Cabbage,Cabbage,Local,2026-12-03,2000,2500,2250,2026,12,3,500,0.2222222222222222,Medium Risk
Tamil Nadu,Thiruchirappalli,Musiri(Uzhavar Sandhai ) APMC,Snakeguard,Snakeguard,Local,2026-12-03,2500,3000,2750,2026,12,3,500,0.18181818181818182,Medium Risk
Tamil Nadu,Thiruchirappalli,Musiri(Uzhavar Sandhai ) APMC,Green Avare(W),Green Avare (W),Local,2026-12-03,6000,7000,6500,2026,12,3,1000,0.15384615384615385,Medium Risk
Tamil Nadu,Thiruchirappalli,Musiri(Uzhavar Sandhai ) APMC,Mango(Raw-Ripe),Mango - Raw-Ripe,Local,2026-12-03,7000,8000,7500,2026,12,3,1000,0.13333333333333333,Medium Risk
Tamil Nadu,Thiruchirappalli,Musiri(Uzhavar Sandhai ) APMC,Indian Beans(Seam),Indian Beans (Seam),Local,2026-12-03,5000,6000,5500,2026,12,3,1000,0.18181818181818182,Medium Risk
Tamil Nadu,Thiruchirappalli,Musiri(Uzhavar Sandhai ) APMC,Lemon,Lemon,Local,2026-12-03,13000,14000,13500,2026,12,3,1000,0.07407407407407407,Low Risk
Tamil Nadu,Thiruchirappalli,Thiruverumbur(Uzhavar Sandhai ) APMC,Banana,Karpura,Local,2026-12-03,4000,6000,5000,2026,12,3,2000,0.4,High Risk
Tamil Nadu,Thiruchirappalli,Thiruverumbur(Uzhavar Sandhai ) APMC,Bottle gourd,Bottle Gourd,Local,2026-12-03,2000,2000,2000,2026,12,3,0,0.0,
Tamil Nadu,Thiruchirappalli,Thiruverumbur(Uzhavar Sandhai ) APMC,Amaranthus,Amaranthus,Local,2026-12-03,2000,2000,2000,2026,12,3,0,0.0,
Tamil Nadu,Thiruchirappalli,Thiruverumbur(Uzhavar Sandhai ) APMC,Beans,Beans (Whole),Local,2026-12-03,6500,6500,6500,2026,12,3,0,0.0,
Tamil Nadu,Thiruchirappalli,Thiruverumbur(Uzhavar Sandhai ) APMC,Green Avare(W),Other,Local,2026-12-03,4600,5000,4800,2026,12,3,400,0.08333333333333333,Low Risk
Tamil Nadu,Thiruchirappalli,Thiruverumbur(Uzhavar Sandhai ) APMC,Chow Chow,Chow Chow,Local,2026-12-03,2500,2500,2500,2026,12,3,0,0.0,
Tamil Nadu,Thiruchirappalli,Thiruverumbur(Uzhavar Sandhai ) APMC,Elephant Yam(Suran)/Amorphophallus,Elephant Yam (Suran),Local,2026-12-03,3000,3000,3000,2026,12,3,0,0.0,
Tamil Nadu,Thiruchirappalli,Lalgudi(Uzhavar Sandhai ) APMC,Green Chilli,Green Chilly,Local,2026-12-03,3400,3400,3400,2026,12,3,0,0.0,
Tamil Nadu,Thiruchirappalli,Lalgudi(Uzhavar Sandhai ) APMC,Cowpea(Veg),Cowpea (Veg),Local,2026-12-03,2600,2600,2600,2026,12,3,0,0.0,
Tamil Nadu,Thiruchirappalli,Lalgudi(Uzhavar Sandhai ) APMC,Potato,Red Nanital,Local,2026-12-03,3000,4800,3900,2026,12,3,1800,0.46153846153846156,High Risk
Tamil Nadu,Thiruchirappalli,Lalgudi(Uzhavar Sandhai ) APMC,Cauliflower,Ranchi,Local,2026-12-03,4000,4000,4000,2026,12,3,0,0.0,
Tamil Nadu,Thiruchirappalli,Lalgudi(Uzhavar Sandhai ) APMC,Bottle gourd,Bottle Gourd,Local,2026-12-03,2000,2000,2000,2026,12,3,0,0.0,
Tamil Nadu,Thiruchirappalli,Lalgudi(Uzhavar Sandhai ) APMC,Coconut,Coconut,Local,2026-12-03,6500,6500,6500,2026,12,3,0,0.0,
Tamil Nadu,Thiruchirappalli,Lalgudi(Uzhavar Sandhai ) APMC,Carrot,Pusakesar,Local,2026-12-03,4600,4600,4600,2026,12,3,0,0.0,
Tamil Nadu,Thiruchirappalli,Lalgudi(Uzhavar Sandhai ) APMC,Cucumbar(Kheera),Cucumbar,Local,2026-12-03,4600,4600,4600,2026,12,3,0,0.0,
Tamil Nadu,Thiruchirappalli,Lalgudi(Uzhavar Sandhai ) APMC,Drumstick,Drumstick,Local,2026-12-03,6000,6000,6000,2026,12,3,0,0.0,
Tamil Nadu,Thiruchirappalli,Lalgudi(Uzhavar Sandhai ) APMC,Knool Khol,Knool Khol,Local,2026-12-03,2600,2600,2600,2026,12,3,0,0.0,
Tamil Nadu,Thiruchirappalli,Lalgudi(Uzhavar Sandhai ) APMC,Elephant Yam(Suran)/Amorphophallus,Elephant Yam (Suran),Local,2026-12-03,3000,3000,3000,2026,12,3,0,0.0,
Tamil Nadu,Thiruchirappalli,Manachanallur(Uzhavar Sandhai ) APMC,Onion,Bellary,Local,2026-12-03,3000,3000,3000,2026,12,3,0,0.0,
Tamil Nadu,Thiruchirappalli,Manachanallur(Uzhavar Sandhai ) APMC,Cauliflower,Ranchi,Local,2026-12-03,4000,4000,4000,2026,12,3,0,0.0,
Tamil Nadu,Thiruchirappalli,Manachanallur(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,2026-12-03,3400,3400,3400,2026,12,3,0,0.0,
Tamil Nadu,Thiruchirappalli,Manachanallur(Uzhavar Sandhai ) APMC,Pumpkin,Pumpkin,Local,2026-12-03,1600,1600,1600,2026,12,3,0,0.0,
Tamil Nadu,Thiruchirappalli,Manachanallur(Uzhavar Sandhai ) APMC,Bhindi(Ladies Finger),Bhindi,Local,2026-12-03,4000,4000,4000,2026,12,3,0,0.0,
Tamil Nadu,Thiruchirappalli,Manachanallur(Uzhavar Sandhai ) APMC,Ginger(Green),Green Ginger,Local,2026-12-03,7600,7600,7600,2026,12,3,0,0.0,
Tamil Nadu,Thiruchirappalli,Manachanallur(Uzhavar Sandhai ) APMC,Cabbage,Cabbage,Local,2026-12-03,2600,2600,2600,2026,12,3,0,0.0,
